name,address,city,state,zip,phone,LAT,LON,hasSpecialities,ADDICTION MEDICINE,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,ALLERGY/IMMUNOLOGY,ANESTHESIOLOGY,ANESTHESIOLOGY ASSISTANT,AUDIOLOGIST,CARDIAC ELECTROPHYSIOLOGY,CARDIAC SURGERY,CARDIOVASCULAR DISEASE (CARDIOLOGY),CERTIFIED NURSE MIDWIFE,CERTIFIED REGISTERED NURSE ANESTHETIST,CHIROPRACTIC,CLINICAL NURSE SPECIALIST,CLINICAL PSYCHOLOGIST,CLINICAL SOCIAL WORKER,COLORECTAL SURGERY (PROCTOLOGY),CRITICAL CARE (INTENSIVISTS),DENTIST,DERMATOLOGY,DIAGNOSTIC RADIOLOGY,EMERGENCY MEDICINE,ENDOCRINOLOGY,FAMILY PRACTICE,GASTROENTEROLOGY,GENERAL PRACTICE,GENERAL SURGERY,GERIATRIC MEDICINE,GERIATRIC PSYCHIATRY,GYNECOLOGICAL ONCOLOGY,HAND SURGERY,HEMATOLOGY,HEMATOLOGY/ONCOLOGY,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR TH,HOSPICE/PALLIATIVE CARE,HOSPITALIST,INFECTIOUS DISEASE,INTERNAL MEDICINE,INTERVENTIONAL CARDIOLOGY,INTERVENTIONAL PAIN MANAGEMENT,INTERVENTIONAL RADIOLOGY,MAXILLOFACIAL SURGERY,MEDICAL ONCOLOGY,NEPHROLOGY,NEUROLOGY,NEUROPSYCHIATRY,NEUROSURGERY,NUCLEAR MEDICINE,NURSE PRACTITIONER,OBSTETRICS/GYNECOLOGY,OCCUPATIONAL THERAPY,OPHTHALMOLOGY,OPTOMETRY,ORAL SURGERY,ORTHOPEDIC SURGERY,OSTEOPATHIC MANIPULATIVE MEDICINE,OTOLARYNGOLOGY,PAIN MANAGEMENT,PATHOLOGY,PEDIATRIC MEDICINE,PERIPHERAL VASCULAR DISEASE,PHYSICAL MEDICINE AND REHABILITATION,PHYSICAL THERAPY,PHYSICIAN ASSISTANT,PLASTIC AND RECONSTRUCTIVE SURGERY,PODIATRY,PREVENTATIVE MEDICINE,PSYCHIATRY,PULMONARY DISEASE,RADIATION ONCOLOGY,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,RHEUMATOLOGY,SLEEP MEDICINE,SPEECH LANGUAGE PATHOLOGIST,SPORTS MEDICINE,SURGICAL ONCOLOGY,THORACIC SURGERY,UNDEFINED PHYSICIAN TYPE (SPECIFY),UROLOGY,VASCULAR SURGERY,id
Huisartsenpost Alkmaar,Straat 1,Alkmaar,NH,1811AE,0123456789,52.6273960635520,4.7533120962007,False
Medisch Centrum Alkmaar,Straat 2,Alkmaar,NH,1811AE,0123456789,52.6273960635520,4.7533120962007,False
CHPA & Ziekenhuisgroep Twente Almelo,Straat 3,Almelo,OV,7601AA,0123456789,52.3501896317121,6.6660266522793,False
Spoedpost Almere & Flevoziekenhuis,Straat 4,Almere,FL,1300AA,0123456789,52.4169071209224,5.2197141254597,False
Huisartsenpost Amersfoort & Meander Medisch Centrum Amersfoort,Straat 6,Amersfoort,UT,3811AA,0123456789,52.1544805426734,5.3882247440791,False
Stichting Huisartsenpost Amstelland & Ziekenhuis Amstelland,Straat 7,Amstelveen,NH,1181AA,0123456789,52.3213300615975,4.8635682333419,False
Huisartsenpost Amsterdam Noord & BovenIJ Ziekenhuis,Straat 8,Amsterdam,NH,1000AA,0123456789,52.3777789512013,4.9055895401203,False
Huisartsenpost Amsterdam West & OLVG West,Straat 9,Amsterdam,NH,1000AA,0123456789,52.3777789512013,4.9055895401203,False
Huisartsenpost Amsterdam CentrumOost & OLVG Oost,Straat 10,Amsterdam,NH,1000AA,0123456789,52.3777789512013,4.9055895401203,False
Huisartsenpost Amsterdam Zuid & VU,Straat 11,Amsterdam,NH,1000AA,0123456789,52.3777789512013,4.9055895401203,False
Huisartsenpost Amsterdam Zuidoost & Academisch Medisch Centrum,Straat 12,Amsterdam,NH,1000AA,0123456789,52.3777789512013,4.9055895401203,False
Huisartsenpost Apeldoorn & Gelre Ziekenhuizen Apeldoorn,Straat 13,Apeldoorn,GE,7300AA,0123456789,52.2173029244093,5.9597931600343,False
Huisartsenpost Arnhem-Zuid,Straat 14,Arnhem,GE,6800AA,0123456789,51.9847452248286,5.9069429610631,False
Huisartsenpost Arnhem & Rijnstate Ziekenhuis Zevenaar,Straat 15,Arnhem,GE,6800AA,0123456789,51.9847452248286,5.9069429610631,False
Huisartsenpost Assen & Wilhelmina Ziekenhuis Assen,Straat 16,Assen,DR,9400AA,0123456789,52.9968845842260,6.5701394585280,False
Huisartsenpost Barneveld,Straat 17,Barneveld,GE,3770AA,0123456789,52.1371217003364,5.5946492680018,False
Huisartsenpost Bergen op Zoom & Stichting Ziekenhuis Lievensberg,Straat 18,Bergen op Zoom,NB,4611AA,0123456789,51.4919782662035,4.2882456112476,False
Huisartsenpost Boxmeer & Maasziekenhuis Pantein,Straat 19,Beugen,NB,5835AA,0123456789,51.6697005424204,5.9424600898448,False
